foodname,materials
bánh mì,"baget ekmei, turu sebzeler, domuz eti, pate, kini"
bun cha,"zgara domuz eti, erite, taze otlar, balk sosu"
spring rolls,"pirin kad, sebzeler, karides , taze otlar"
kimchi,"napa lahanas, ac biber, sarmsak, zencefil, tuz"
bibimbap,"pirin, sebzeler, sr eti, yumurta, ac biber ezmesi"
bulgogi,"sr eti, soya sosu, eker, sarmsak, susam ya"
japchae,"cam erite, sr eti, sebzeler, soya sosu"
tteokbokki,"pirin kekleri, ac biber ezmesi, balk kekleri, yeil soan"
pierogi,"un, patates, peynir, soan, tereya"
bigos,"eki lahana, et, mantarlar, domatesler"
kielbasa,"sosis, domuz eti, sarmsak, baharatlar"
placki ziemniaczane,"patates, yumurta, un, soan"
schnitzel,"dana veya domuz eti, ekmek krntlar, yumurta, un"
bratwurst,"sosis, domuz eti, baharatlar"
sauerkraut,"lahana, tuz"
pretzel,"un, su, maya, tuz"
wiener schnitzel,"dana eti, ekmek krntlar, yumurta, un, limon"
goulash,"dana eti, paprika, soanlar, domatesler"
chicken paprikash,"tavuk, paprika, krema, soan"
dobos torte,"snger kek, ikolatal tereya kremas, karamel"
sacher torte,"ikolatal kek, kays reeli, ikolata kaplamas"
moussaka,"patlcan, kyma, patatesler, beamel"
souvlaki,"et , pita, tzatziki, sebzeler"
gyro,"et, pita, domatesler, soanlar, tzatziki"
spanakopita,"filo hamuru, spanak, feta, soan, otlar"
baklava (yunan),"filo, kuruyemi, bal erbeti"
dolmades,"zm yapraklar, pirin, otlar, istee bal et"
pastitsio,"makarna, kyma, beamel, domates sosu"
